question_id,parent_question_id,sub_label,question_text,is_required,information_text,question_category,question_type_id
1,,,"Does the wastewater system carry waste water to septic field on the lots, to a community holding tank or a biodigester system?",true,Select the type of wastewater system used in your strata,Exterior,7
2,,,Please describe the community septic system,true,,Interior,4
3,,,Who is responsible for the pump(s) to carry wastewater to the holding/septic tank?,true,,survey,4
4,,,How many pumps are between the residence and the holding tank(s)?,true,,survey,6
5,,,"Please describe the composition, number and capacity of holding tanks (if known)",true,,survey,4
6,,,When was the last time any work was completed and what was the cost?,true,,survey,4
7,,,"Please describe the size, capacity, make and model of biodigester",true,,survey,4
8,,,Number and replacement history of holding tanks between biodigester and community septic fields,true,,survey,4
9,,,Number and replacement history of pumps between biodigester and community septic field,true,,Legal,4
10,,,Are you planning any work in the future?,true,,survey,4
11,,,"When was the clubhouse envelope, including siding, windows, doors and roofing last replaced, and at what cost?",true,,survey,4
12,,,"When were the clubhouse interior, including flooring, painting, doors and lighting last replaced and at what cost?",true,,survey,4
13,,,"Clubhouse mechanical equipment replacement history including boilers, hot water tanks, or heat pumps, including cost?",true,,survey,4
14,,,"What is the history of the clubhouse furniture and equipment including in the Lounge, Gym, Kitchen, appliances, Chairs, Tables, Etc.",true,,survey,4
15,,,Are there any repairs or replacement work planned for the future?,true,,survey,4
16,,,Please indicate amenity package,true,Select all amenities available in your strata,survey,5
17,,,Have there been lawsuits or arbitration decisions that affected the Contingency Reserve Fund (CRF)?,true,"Check ""None"" if not applicable, or provide explanation",survey,8
18,,,Are there pending litigation/CRT claims that may affect the building?,true,"Check ""None"" if not applicable, or provide explanation",survey,8
19,,,Has the strata taken responsibility for a component in/on a strata lot?,true,"Check ""None"" if not applicable, or provide explanation",survey,8
20,,,Please provide a list of strata lots that have taken responsibility/alteration agreement for changes to common property or attachments/alterations of the building envelope,true,,survey,4
21,,,Please indicate any issues that the strata has or Council is concerned about,true,"Check ""None"" if not applicable, or provide explanation",survey,8
22,,,Please summary any issues the strata had with the prior Depreciation Report?,true,"Check ""None"" if not applicable, or provide explanation",Legal,5
25,,,When was the last time you completed any work on the exterior siding?,true,This includes painting the building.,Exterior,4
201,25,a,Who was the supplier?,true,,Exterior,4
202,25,b,What was the cost?,true,,Exterior,4
26,,,"If you have brick or stone veneer, when was the last time you completed any work?",true,,Exterior,4
203,26,a,Who was the supplier?,true,,Exterior,4
204,26,b,What was the cost?,true,,Exterior,4
27,,,When was the last time you completed any work on the building envelope?,true,,Exterior,4
205,27,a,Who was the supplier?,true,,Exterior,4
206,27,b,What was the cost?,true,,Exterior,4
28,,,When was the last time you completed any work on the windows?,true,,Exterior,4
207,28,a,Who was the supplier?,true,,Exterior,4
208,28,b,What was the cost?,true,,Exterior,4
29,,,When was the last time you completed any work on the sliding doors?,true,,Exterior,4
209,29,a,Who was the supplier?,true,,Exterior,4
210,29,b,What was the cost?,true,,Exterior,4
30,,,"If you have balconies, when was the last time you completed any work?",true,,Exterior,4
211,30,a,Who was the supplier?,true,,Exterior,4
212,30,b,What was the cost?,true,,Exterior,4
31,,,When was the last time you completed any work on the front door(s)?,true,,Exterior,4
213,31,a,Who was the supplier?,true,,Exterior,4
214,31,b,What was the cost?,true,,Exterior,4
32,,,When was the last time you completed any work on the enter phone or security system?,true,,Exterior,4
215,32,a,Who was the supplier?,true,,Exterior,4
216,32,b,What was the cost?,true,,Exterior,4
33,,,"When was the last time you completed any work on the garage door, or the motor?",true,,Exterior,4
217,33,a,Who was the supplier?,true,,Exterior,4
218,33,b,What was the cost?,true,,Exterior,4
34,,,When was the last time you completed any work on the roof?,true,,Exterior,4
219,34,a,Who was the supplier?,true,,Exterior,4
220,34,b,What was the cost?,true,,Exterior,4
35,,,"When was the last time you completed any work on the skylights, if any?",true,,Exterior,4
221,35,a,Who was the supplier?,true,,Exterior,4
222,35,b,What was the cost?,true,,Exterior,4
36,,,When was the last time you replaced the metal flashing?,true,,Exterior,4
223,36,a,Who was the supplier?,true,,Exterior,4
224,36,b,What was the cost?,true,,Exterior,4
37,,,Did you replace the roof access hatch during the re-roofing project or independently?,true,,Exterior,4
225,37,a,Who was the supplier?,true,,Exterior,4
226,37,b,What was the cost?,true,,Exterior,4
38,,,Are the attic areas in the townhomes common area (if any)?,true,,Exterior,4
227,38,a,When did you do any repair or replacement work on them and how much did you spend?,true,,Exterior,4
39,,,When was the last time you completed any work on the downspouts or gutters?,true,,Exterior,4
228,39,a,Who was the supplier?,true,,Exterior,4
229,39,b,What was the cost?,true,,Exterior,4
40,,,When was the last time you completed any work on the elevator?,true,,Services,4
230,40,a,Who was the supplier?,true,,Services,4
231,40,b,What was the cost?,true,,Services,4
41,,,When was the last time you painted the interior of the building?,true,,Interior,4
232,41,a,Who was the supplier?,true,,Interior,4
233,41,b,What was the cost?,true,,Interior,4
234,41,c,Please separate the painting in the common rooms from the hallways?,true,,Interior,4
42,,,When was the last time you completed any flooring?,true,,Interior,4
235,42,a,Who was the supplier?,true,,Interior,4
236,42,b,What was the cost?,true,,Interior,4
237,42,c,Please separate the flooring in the common amenity rooms from the hallways?,true,,Interior,4
43,,,When was the last time you refreshed the lobby area?,true,,Interior,4
238,43,a,What was the cost?,true,,Interior,4
44,,,When was the last time you completed any work on the interior lights?,true,,Interior,4
239,44,a,What was the cost?,true,,Interior,4
45,,,When was the last time you completed any work on the interior furniture?,true,,Interior,4
240,45,a,Who was the supplier?,true,,Interior,4
241,45,b,What was the cost?,true,,Interior,4
46,,,"Are any of the service doors in need of work, and have any of them been replaced?",true,,Interior,4
242,46,a,Who was the supplier?,true,,Interior,4
243,46,b,What was the cost?,true,,Interior,4
47,,,When did you last replace or do work on the boiler for hydronic heat (if any)?,true,Hydronic heat is water-based baseboard heat.,Services,4
244,47,a,Who was the supplier?,true,,Services,4
245,47,b,What was the cost?,true,,Services,4
48,,,When did you last replace the boiler for domestic hot water heat (if any)?,true,Bathrooms and kitchens.,Services,4
246,48,a,Who was the supplier?,true,,Services,4
247,48,b,What was the cost?,true,,Services,4
49,,,When did you last replace the domestic hot water storage tanks (if any)?,true,,Services,4
248,49,a,Who was the supplier?,true,,Services,4
249,49,b,What was the cost?,true,,Services,4
50,,,When did you install the expansion tanks (if any)?,true,,Services,4
250,50,a,Who was the supplier?,true,,Services,4
251,50,b,What was the cost?,true,,Services,4
51,,,"When was the last time you completed any work on the water, sanitary or sewer systems, or the sump pump?",true,,Services,4
252,51,a,Who was the supplier?,true,,Services,4
253,51,b,What was the cost?,true,,Services,4
52,,,When was the last time you completed any work on the rooftop HVAC or Make-up air system?,true,,Services,4
254,52,a,Who was the supplier?,true,,Services,4
255,52,b,What was the cost?,true,,Services,4
